rank,score,competitorId,url
1,247.1,a01sa01to,https://retail-alex-a01sa01to-ace06c6c.koyeb.app/
2,34.65,nakamuraitsuki,https://prepared-ginelle-nakamuraitsuki-11ad5b95.koyeb.app/
